"t.body.acc.mean.x" "t.body.acc.mean.y" "t.body.acc.mean.z" "t.body.acc.std.x" "t.body.acc.std.y" "t.body.acc.std.z" "t.gravity.acc.mean.x" "t.gravity.acc.mean.y" "t.gravity.acc.mean.z" "t.gravity.acc.std.x" "t.gravity.acc.std.y" "t.gravity.acc.std.z" "t.body.acc.jerk.mean.x" "t.body.acc.jerk.mean.y" "t.body.acc.jerk.mean.z" "t.body.acc.jerk.std.x" "t.body.acc.jerk.std.y" "t.body.acc.jerk.std.z" "t.body.gyro.mean.x" "t.body.gyro.mean.y" "t.body.gyro.mean.z" "t.body.gyro.std.x" "t.body.gyro.std.y" "t.body.gyro.std.z" "t.body.gyro.jerk.mean.x" "t.body.gyro.jerk.mean.y" "t.body.gyro.jerk.mean.z" "t.body.gyro.jerk.std.x" "t.body.gyro.jerk.std.y" "t.body.gyro.jerk.std.z" "t.body.acc.mag.mean" "t.body.acc.mag.std" "t.gravity.acc.mag.mean" "t.gravity.acc.mag.std" "t.body.acc.jerk.mag.mean" "t.body.acc.jerk.mag.std" "t.body.gyro.mag.mean" "t.body.gyro.mag.std" "t.body.gyro.jerk.mag.mean" "t.body.gyro.jerk.mag.std" "f.body.acc.mean.x" "f.body.acc.mean.y" "f.body.acc.mean.z" "f.body.acc.std.x" "f.body.acc.std.y" "f.body.acc.std.z" "f.body.acc.mean.freq.x" "f.body.acc.mean.freq.y" "f.body.acc.mean.freq.z" "f.body.acc.jerk.mean.x" "f.body.acc.jerk.mean.y" "f.body.acc.jerk.mean.z" "f.body.acc.jerk.std.x" "f.body.acc.jerk.std.y" "f.body.acc.jerk.std.z" "f.body.acc.jerk.mean.freq.x" "f.body.acc.jerk.mean.freq.y" "f.body.acc.jerk.mean.freq.z" "f.body.gyro.mean.x" "f.body.gyro.mean.y" "f.body.gyro.mean.z" "f.body.gyro.std.x" "f.body.gyro.std.y" "f.body.gyro.std.z" "f.body.gyro.mean.freq.x" "f.body.gyro.mean.freq.y" "f.body.gyro.mean.freq.z" "f.body.acc.mag.mean" "f.body.acc.mag.std" "f.body.acc.mag.mean.freq" "f.body.body.acc.jerk.mag.mean" "f.body.body.acc.jerk.mag.std" "f.body.body.acc.jerk.mag.mean.freq" "f.body.body.gyro.mag.mean" "f.body.body.gyro.mag.std" "f.body.body.gyro.mag.mean.freq" "f.body.body.gyro.jerk.mag.mean" "f.body.body.gyro.jerk.mag.std" "f.body.body.gyro.jerk.mag.mean.freq" "angle.t.body.acc.mean.gravity" "angle.t.body.acc.jerk.mean.gravity.mean" "angle.t.body.gyro.mean.gravity.mean" "angle.t.body.gyro.jerk.mean.gravity.mean" "angle.x.gravity.mean" "angle.y.gravity.mean" "angle.z.gravity.mean"
"laying.1" 0.27586811896 -0.0144985530354 -0.1056691383 -0.9818635534 -0.9436733746 -0.9216263666 0.9347957182 0.1127694709 0.103712234642 -0.9836406614 -0.968090583 -0.9331427326 0.07786772272 0.003067967494 -0.0039592282448 -0.9790262422 -0.9716124306 -0.970718389 -0.0389826448 -0.05299469446 0.07069219984 -0.9728351662 -0.9420743418 -0.9475309576 -0.095762203 -0.042173848354 -0.04811760281 -0.971996162 -0.9707076866 -0.978656605 -0.9476832184 -0.93729785 -0.9476832184 -0.93729785 -0.9768589592 -0.9665806892 -0.9391889154 -0.9240191944 -0.978889337 -0.963849564 -0.9801338878 -0.9527378262 -0.943953123 -0.982807868 -0.9422957904 -0.9166864042 -0.01606809693 0.0412299271 0.0468250597 -0.9788046672 -0.9715347784 -0.9666211346 -0.9812752976 -0.9738685366 -0.9734913658 0.20910749014 -0.0774439295694 -0.05159486066 -0.9644112718 -0.949432736 -0.9525869868 -0.9756791516 -0.9390679158 -0.9509177532 0.0465252988762 -0.140827908246 -0.00190984346 -0.9495880902 -0.9408345586 0.104900054968 -0.9658802592 -0.9664688676 0.23336260121 -0.9398018146 -0.9281799928 0.04754890226 -0.9651370704 -0.9644960304 0.09085840896 -0.0025840776516 -0.01032218254 -0.051228418566 -0.050548790172 -0.788281984 0.005704074706 -0.051479584566
"sitting.1" 0.277638777234043 -0.0161524144340426 -0.110945160744681 -0.980332985744681 -0.940526448297872 -0.927886057234043 0.891864740851064 0.123737414787234 0.277466724680851 -0.979127375744681 -0.975813404042553 -0.93604808012766 0.0743599703404255 0.0128350960468085 0.00139424037893617 -0.978200751489362 -0.959385576170213 -0.976909481702128 -0.0359836492170213 -0.0809593747234043 0.0550098275425532 -0.980612779787234 -0.962856645744681 -0.945899980212766 -0.0981707554893617 -0.0409529402787234 -0.0532433673191489 -0.984826797659574 -0.983421294042553 -0.97780615106383 -0.95372907 -0.935133005744681 -0.95372907 -0.935133005744681 -0.976400063191489 -0.962390539361702 -0.941207044680851 -0.942732428297872 -0.985967067659574 -0.979450349148936 -0.977816029787234 -0.943056341702128 -0.948879385531915 -0.981565437234043 -0.942579941914894 -0.922716172765957 0.0174501262680851 0.0416239072468085 0.0424210985531915 -0.978433125531915 -0.958371777234043 -0.973715652765957 -0.979973830212766 -0.963954124255319 -0.978735763617021 0.213004981651064 -0.0757856426638298 -0.0467287672617021 -0.976767790425532 -0.967361465957447 -0.946822575744681 -0.981895319787234 -0.960698311489362 -0.950741906808511 0.0385088533957447 -0.192443332431915 -0.0525701735510638 -0.94444861787234 -0.940345310638298 0.114078022165957 -0.963344381914894 -0.960239346170213 0.146024456448511 -0.957809450425532 -0.943178759361702 -0.103444268744681 -0.981314373191489 -0.97830235893617 0.0773220844085106 0.020189360206383 0.0465860437831915 0.0720755503829787 -0.0117226543829787 -0.683005886808511 -0.00189335361702128 -0.175694010744681
"standing.1" 0.273913993396226 -0.0103949411396226 -0.102631859830189 -0.982551189622642 -0.927272754251509 -0.9312518 0.857639309622642 0.211307406415094 0.300718896603774 -0.978743206981132 -0.953511050886792 -0.938203778509434 0.0793645824150943 -0.00326980167490566 -0.0155625773505094 -0.987226901132075 -0.975383071698113 -0.985338333396226 -0.0312637966226415 -0.0844455260188679 0.0866392911132075 -0.986444503396226 -0.965836272641509 -0.957345814150943 -0.0994254850566038 -0.0397616094509434 -0.0493214606981132 -0.989918677924528 -0.987676763584906 -0.982435271886792 -0.951224686415094 -0.929544519437736 -0.951224686415094 -0.929544519437736 -0.985112920188679 -0.98123670490566 -0.958831873207547 -0.954219353773585 -0.989786192641509 -0.984920857358491 -0.98306359509434 -0.942063771509434 -0.954598352264151 -0.982384464339623 -0.924359698415094 -0.924318175283019 -0.227115973735849 -0.0410517325886792 -0.0896536162811321 -0.986861182641509 -0.97506905 -0.982670968490566 -0.988878179056604 -0.977673973773585 -0.986659429245283 0.136481052162264 -0.1300438591 -0.0430551119293019 -0.983530641132075 -0.972119744150943 -0.959611386037736 -0.987372003396226 -0.962756988301887 -0.96062928 -0.063887429245283 -0.36706350214717 -0.203394412507547 -0.947913954528302 -0.930767653377358 -0.094445555774717 -0.981362063207547 -0.97989999754717 0.227107330064151 -0.965933894339623 -0.954606366226415 -0.229822987533962 -0.986357112641509 -0.983919669811321 0.0626188970188679 0.0116528579811321 0.0199102347679245 0.0409718599716981 0.00641441126415095 -0.61908741754717 -0.0634911311283019 -0.193259369056604
"walking.1" 0.275128720736842 -0.0130572076589474 -0.105338262757895 -0.989751268421053 -0.945998526947368 -0.929075875178947 0.948126095789474 0.0262444377368421 -0.0653598183084211 -0.987989693052632 -0.966431297894737 -0.944820026736842 0.0761404131263158 0.0110889849615389 -0.00295558496157895 -0.988462241157895 -0.980152621157895 -0.980953229789474 -0.0367396347042737 -0.0601329598315789 0.0646569495578947 -0.982186348736842 -0.957245162421053 -0.963537001263158 -0.0990522790631579 -0.0432526529470947 -0.0470535348494737 -0.988574539263158 -0.984044916631579 -0.988599210210526 -0.957101072210526 -0.94518886431579 -0.957101072210526 -0.94518886431579 -0.985211359157895 -0.980844209263158 -0.94405864631579 -0.947072419578947 -0.988066236631579 -0.983727420842105 -0.988801392947368 -0.958701740631579 -0.954609548210526 -0.990283990526316 -0.943370847578947 -0.922169590484211 0.0222877581086316 0.138353270189474 0.0606220698642105 -0.988432130315789 -0.980183402210526 -0.977959754631579 -0.989573296526316 -0.981598491789474 -0.982618036526316 0.224234638883158 -0.0314365681705263 0.0154075682894737 -0.978861175789474 -0.965320300421053 -0.967402393052632 -0.983341040210526 -0.953600677684211 -0.965883903052632 0.0433195904305263 -0.204360597346316 0.0416717088821053 -0.957699823578947 -0.947501610526316 0.145055483226316 -0.980361382526316 -0.980415815368421 0.253785366818947 -0.960128578631579 -0.948304282 0.0094804004 -0.984323288210526 -0.983843308947368 0.165026632537895 0.0245462313607368 -0.0134131484052632 0.0380363205684211 0.00592330882631579 -0.829432972526316 0.0656499184105263 0.0673698767368421
"walking.downstairs.1" 0.273960858163265 -0.0163791104163265 -0.115880487244898 -0.988971979183673 -0.95796177244898 -0.939172168571429 0.891167092040816 0.211410557142857 0.1639292316 -0.98738861122449 -0.972985473469388 -0.941876227959184 0.0767245652653061 0.0103755547487143 0.0044015401722449 -0.987527610816327 -0.978572838163265 -0.984539887142857 -0.023907275422449 -0.0911655455918367 0.108147866897959 -0.990283070204082 -0.974966691020408 -0.97928395877551 -0.0985321322244898 -0.0356619586122449 -0.0600240451020408 -0.989701971836735 -0.988938146326531 -0.988518136938776 -0.964326723061224 -0.954121074081633 -0.964326723061224 -0.954121074081633 -0.984627656122449 -0.985338776938775 -0.963606518979592 -0.970800834081633 -0.990165630816327 -0.989461403877551 -0.988281976326531 -0.963297808367347 -0.958671336530612 -0.98937225122449 -0.957452420816327 -0.934071052653061 0.0507752840816327 0.116356724077551 0.132028961979592 -0.987853480612245 -0.978735774285714 -0.982167206734694 -0.988345154489796 -0.979961443673469 -0.985509333673469 0.309082415816327 -0.0667727695591837 0.0295476556571429 -0.98751870122449 -0.978627073061225 -0.978660853673469 -0.991189291632653 -0.973094955102041 -0.981368585510204 0.0756815780755102 -0.169851619991837 0.0923391952367347 -0.964800382653061 -0.956090046734694 0.206873521161224 -0.984687841632653 -0.985047814285714 0.333152699777551 -0.977728936938775 -0.971432366938776 0.0286274303020408 -0.989637195714286 -0.989646359591837 0.255667224072449 0.0574569333714286 -0.00445567982653061 -0.0221058960387755 -0.00691217994693877 -0.695502804693878 -0.0636563032428571 -0.0946234322040816
"walking.upstairs.1" 0.276386659245283 -0.0136580335132075 -0.104062514358491 -0.991269448113207 -0.963981199622642 -0.958191696415094 0.908100116981132 0.129312682075472 0.0736496679245283 -0.993194523962264 -0.982158377358491 -0.96899006245283 0.0757894009245283 0.0112491194786792 0.00260317456924528 -0.987779213396226 -0.975027446037736 -0.983437026603774 -0.0299438416037736 -0.0729855996811321 0.0816183513773585 -0.985785498679245 -0.975102503396226 -0.968264970943396 -0.0977664780566038 -0.0403902553622641 -0.0514972073301887 -0.989026541320755 -0.98864382490566 -0.987077604528302 -0.972587542264151 -0.972358636037736 -0.972587542264151 -0.972358636037736 -0.983511693773585 -0.983137486981132 -0.96489167245283 -0.96649189754717 -0.989717825849057 -0.988857663018868 -0.98969895490566 -0.966825946037736 -0.96818980509434 -0.992002960377358 -0.964015745283019 -0.955570715660377 -0.00884520801886792 0.0465599337226415 0.074986541849434 -0.987911348867925 -0.974906623962264 -0.980273345660377 -0.988742405849057 -0.977052888113208 -0.98532759490566 0.16758621964717 -0.0587991025320755 -0.00758146373018868 -0.982990698490566 -0.978601774339623 -0.970711429811321 -0.986673699811321 -0.973361778113208 -0.970307158867925 -0.019107713254717 -0.243613323254717 -0.0956030942756604 -0.974784932264151 -0.974381117169811 0.112801379430792 -0.981947986037736 -0.983740007735849 0.325340399639623 -0.975223742641509 -0.966668856981132 -0.0997038335620755 -0.988813300566038 -0.989412158113208 0.168563738470943 0.022448843604717 -0.00687425894811321 0.013251966109434 0.0318547270396226 -0.761006381320755 -0.00704545730754717 -0.0321243753584906
"laying.2" 0.28432491625 -0.0177232268208333 -0.1100242528125 -0.966422105208333 -0.974819245416667 -0.976445926875 -0.529613980416667 0.854402612708333 0.4439648 -0.946880237083333 -0.985970535 -0.979291878541667 0.0833361856666667 0.0113748791988125 -0.002860998215625 -0.985678242083333 -0.974529676666667 -0.987064756041667 -0.01893306585625 -0.101541501416667 0.163698721333333 -0.983988865416667 -0.978427155208333 -0.9546432575 -0.102828776458333 -0.0364766908125 -0.0748341607291667 -0.989255458125 -0.987668937916667 -0.989486668541667 -0.969593860833333 -0.965070160625 -0.969593860833333 -0.965070160625 -0.984033440208333 -0.98313884125 -0.942357234166667 -0.955717865833333 -0.989474176041667 -0.988439988125 -0.971435675625 -0.973631232916667 -0.980586357708333 -0.964605347291667 -0.976453511666667 -0.975536489166667 -0.267446837664583 0.3420549791875 0.295062162587708 -0.985373073125 -0.975000518541667 -0.984947729166667 -0.987367709583333 -0.975837704583333 -0.987773662708333 0.171166823099292 0.1642542270625 0.148575927597917 -0.980998231666667 -0.981203254791667 -0.958165534375 -0.984946374375 -0.977385712291667 -0.957634419375 0.072227728775 -0.0334719526208333 0.0187269730729167 -0.968991415833333 -0.967727597083333 0.22091453775625 -0.98299765 -0.982133437708333 0.338241104604167 -0.968352297916667 -0.955499902083333 -0.0186949380416667 -0.988663237916667 -0.988609507708333 0.2457859811 0.0148262600208333 -0.02760577059375 -0.0271616216458333 0.0109991003008333 0.631793897083333 -0.67997362125 -0.315742792291667
"sitting.2" 0.242441918673913 -0.0138963880363043 -0.136713689173913 -0.949639628695652 -0.939958850434783 -0.900008711456522 -0.336345654608696 0.882994503043478 0.24558585826087 -0.91791246173913 -0.969099981304348 -0.904538246326087 0.0942023614782609 -0.00183319184565217 0.00976505459565217 -0.976282705869565 -0.949064172173913 -0.974421193043478 -0.0222756877869565 -0.0752620718065217 0.146994365195652 -0.942433472391304 -0.965166343695652 -0.950667689565217 -0.105266061230435 -0.041357901873913 -0.0712351763913043 -0.95730327 -0.982335486086957 -0.971775543478261 -0.919088326565217 -0.880160965608696 -0.919088326565217 -0.880160965608696 -0.97096016326087 -0.95751447326087 -0.922421551521739 -0.91535200626087 -0.97909409326087 -0.966611220434783 -0.95625317326087 -0.939386040217391 -0.934765657608696 -0.947364609565217 -0.943976173913043 -0.891522070673913 -0.198259344763043 0.231722774782609 0.0989092606 -0.975687436086957 -0.948627142608696 -0.970347410434783 -0.979363204565217 -0.953487980652174 -0.977339185434783 0.165459976041304 0.101147826217391 0.0262256675434783 -0.933351260847826 -0.969374814130435 -0.94784994 -0.946019623043478 -0.963806945 -0.95629853826087 -0.0611621900217391 -0.284465013508696 0.125835935936957 -0.912509481521739 -0.884060214913043 0.129027766804348 -0.959343339565217 -0.954380245 0.285812519130435 -0.936692365217391 -0.917086787695652 -0.208766163415217 -0.968519842391304 -0.966450965434783 0.121092523391304 -0.0120224035608696 0.0295244984347826 0.00370068307826087 0.00342064720652174 0.490724025217391 -0.723777718043478 -0.163911616434783
"standing.2" 0.239226911611111 -0.0396753717685185 -0.0897852697962963 -0.929346550185185 -0.84212536612963 -0.886924865637037 -0.34962553762963 0.718102220055556 0.581097151851852 -0.894123437592593 -0.91193796737037 -0.920518680740741 0.0844543173703704 0.0106113613396296 -0.00393446271407407 -0.958499481481481 -0.915686776481481 -0.958543643518519 -0.00486826572037037 -0.0901095533222222 0.169347610037037 -0.905258165944444 -0.947599806296296 -0.921078554814815 -0.105946482888889 -0.0378586039907407 -0.0733247011481482 -0.935454781296296 -0.971137408888889 -0.966873526296296 -0.876503433944444 -0.841378671888889 -0.876503433944444 -0.841378671888889 -0.95219814962963 -0.929029118518519 -0.883177587962963 -0.852773243333333 -0.968185170740741 -0.949999354814815 -0.937885427962963 -0.867738689611111 -0.914591384814815 -0.926466098888889 -0.840415610833333 -0.881505862796296 -0.21376824567963 0.194888453333333 0.163315342701852 -0.957954620555556 -0.916173777962963 -0.952591879444444 -0.963054158518518 -0.921630362407407 -0.963235478333333 0.150308286953704 0.00114161236666667 0.0606813211296296 -0.885601550190741 -0.953828917037037 -0.922820985185185 -0.912287023888889 -0.945018093703704 -0.927881960740741 -0.0228517776277778 -0.256535527909259 0.0620138946666667 -0.88390477212963 -0.847112791777778 0.150145389203704 -0.933910627222222 -0.92277372 0.240092580277778 -0.888145204444444 -0.856664088148148 -0.163437961425926 -0.955837550740741 -0.946602200925926 0.207648129648148 0.0384135913705556 -0.0138535329272222 0.0341031359351852 0.101577636301852 0.501100688148148 -0.521957507574074 -0.448108178518519
"walking.2" 0.279018165084746 -0.018265489220339 -0.106674930271186 -0.974457511864407 -0.966959663559322 -0.972630434576271 -0.410563697288136 0.85788859 0.448880278305085 -0.960612958135593 -0.982917132881356 -0.97903349338983 0.082819182 0.0115889138438983 -0.00521988909966102 -0.984445070338983 -0.97092182338983 -0.984395200508475 -0.0188688157942373 -0.0823016686271186 0.159340090101695 -0.979130092881356 -0.979179430677966 -0.959945131186441 -0.10358617820339 -0.0394788345338983 -0.0703870608813559 -0.984543656779661 -0.987365685254237 -0.987988077288136 -0.972905403559322 -0.963758085762712 -0.972905403559322 -0.963758085762712 -0.98261297779661 -0.978995110508475 -0.946612814237288 -0.955597681694915 -0.988838518474576 -0.98538897 -0.975364047627119 -0.965479580169492 -0.976367429152542 -0.974266488644068 -0.96923532220339 -0.97209905338983 -0.0945631580644068 0.32101839178983 0.263324295844068 -0.984023743389831 -0.970616568983051 -0.981860625084746 -0.986412000847458 -0.973575576779661 -0.985538605084746 0.191414084898305 0.0841632250610169 0.100390304322034 -0.97576634440678 -0.980130118813559 -0.961964135254237 -0.980228884745763 -0.978909657457627 -0.962924559661017 -0.0386200237813559 0.0103167298542373 0.0631750869211864 -0.965429078813559 -0.967853293050847 0.320289672135593 -0.978469703728814 -0.978511820847458 0.227754422035593 -0.966545021355932 -0.956416841355932 -0.00131018528644068 -0.986003580169492 -0.985260221355932 0.0919579972016949 0.00681495422389831 0.041789716679661 0.0342496707457627 -0.0132921027067797 0.546094672881356 -0.67795518661017 -0.318485987118644
